('Albany State University', 1.8%, 2.2%)
('Bluefield State College', 4.8%, 5.0%)
('California Polytechnic State University-San Luis Obispo', 2.2%, 1.0%)
('California State University-Dominguez Hills', 0.6%, 0.2%)
('California State University-Fullerton', 2.1%, 0.7%)
('California State University-Long Beach', 3.4%, 1.2%)
('Central State University', 3.1%, 3.1%)
('Chicago State University', 9.0%, 9.0%)
('Clayton  State University', 1.8%, 2.3%)
('College of William and Mary', 14.2%, 3.8%)
('Colorado School of Mines', 2.6%, 3.6%)
('Concord University', 6.8%, 5.8%)
('Coppin State University', 6.0%, 6.2%)
('CUNY Bernard M Baruch College', 5.7%, 5.1%)
('CUNY Brooklyn College', 5.7%, 5.1%)
('CUNY City College', 4.9%, 4.8%)
('CUNY Hunter College', 4.9%, 4.7%)
('CUNY John Jay College of Criminal Justice', 5.0%, 4.8%)
('CUNY Lehman College', 4.9%, 4.8%)
('CUNY Queens College', 4.8%, 4.7%)
('CUNY York College', 4.9%, 4.8%)
('Delaware State University', 0.0%, 0.0%)
('Eastern Illinois University', -0.3%, -0.1%)
('Elizabeth City State University', 1.6%, 5.8%)
('Farmingdale State College', 5.0%, 3.4%)
('Fashion Institute of Technology', 1.9%, 1.8%)
('Florida Agricultural and Mechanical University', 0.0%, 0.0%)
('Fort Valley State University', 0.2%, 1.7%)
('Georgia Institute of Technology-Main Campus', 7.0%, 2.5%)
('Glenville State College', 4.9%, 5.0%)
('Gordon State College', 3.0%, 2.5%)
('Grambling State University', 9.7%, 4.1%)
('Kentucky State University', 18.0%, 14.2%)
('New Mexico Institute of Mining and Technology', 9.5%, 6.5%)
('North Carolina Central University', 0.0%, 5.2%)
('Prairie View A & M University', 39.9%, 36.3%)
('Rowan University', 1.9%, 1.9%)
('San Diego State University', 1.5%, 0.6%)
('Southern University at New Orleans', 6.3%, 32.7%)
('State University of New York at New Paltz', 4.7%, 3.2%)
('Stony Brook University', 5.4%, 9.6%)
('SUNY at Binghamton', 5.8%, 9.7%)
('SUNY at Purchase College', 4.8%, 3.3%)
('SUNY College at Brockport', 4.7%, 3.2%)
('SUNY College at Cortland', 5.4%, 3.5%)
('SUNY College at Oswego', 5.6%, 3.6%)
('SUNY College at Plattsburgh', 4.7%, 3.2%)
('SUNY Oneonta', 4.7%, 3.2%)
('Texas A & M International University', 10.9%, 5.7%)
('Texas A & M University-Commerce', 4.6%, 1.8%)
('Texas A & M University-Texarkana', 8.6%, 8.8%)
('The College of New Jersey', 2.0%, 2.0%)
('The Lincoln University', 4.4%, 3.5%)
('The University of Texas at Austin', 0.3%, 2.9%)
('The University of West Florida', 0.0%, 0.0%)
('Troy University', 4.0%, 3.5%)
('University of Arkansas at Pine Bluff', 4.0%, 2.3%)
('University of California-Berkeley', 0.8%, 0.3%)
('University of California-Davis', 0.0%, 0.0%)
('University of California-Irvine', 0.2%, 0.1%)
('University of California-Los Angeles', 0.1%, 0.0%)
('University of California-San Diego', 1.2%, 0.4%)
('University of California-Santa Barbara', 0.9%, 0.3%)
('University of Central Florida', 0.8%, 0.2%)
('University of Connecticut', 5.6%, 6.2%)
('University of Florida', 0.8%, 0.2%)
('University of Maryland-College Park', 2.9%, 4.8%)
('University of Memphis', 3.7%, -11.7%)
('University of Michigan-Ann Arbor', 2.6%, 3.7%)
('University of Minnesota-Twin Cities', 0.0%, 5.1%)
('University of New Mexico-Main Campus', 0.0%, 0.0%)
('University of New Orleans', 12.4%, 10.1%)
('University of North Carolina at Chapel Hill', 0.0%, 10.9%)
('University of North Carolina School of the Arts', 1.1%, 10.8%)
('University of Puerto Rico-Bayamon', 0.0%, 2.1%)
('University of Puerto Rico-Humacao', 0.0%, 0.0%)
('University of Puerto Rico-Rio Piedras', 0.2%, -1.6%)
('University of Puerto Rico-Utuado', 0.2%, 0.1%)
('University of South Carolina-Upstate', 3.1%, 3.2%)
('University of South Florida-Sarasota-Manatee', 0.0%, 0.0%)
('University of South Florida-St Petersburg', 0.0%, 0.0%)
('University of Virginia-Main Campus', 4.3%, 5.8%)
('University of West Georgia', 1.7%, 2.2%)
('Virginia Military Institute', 7.7%, 6.2%)
('West Virginia State University', 5.0%, 5.0%)
('Western Carolina University', 0.6%, 5.3%)
('Western Connecticut State University', 2.1%, 2.0%)
